Run_ID,Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Stimulus_ID,Prompt_ID,Participant_ID,Group,GroupKind,Response,Angle,Proximity,n_candidates,Actor,Candidates,list_id,Accuracy
h159,What is this person looking at?,remote,coffee,,,53,0,h39,H0,Humans,A,left,2,2,X,coffee+remote,7.0,False
h160,What is this person looking at?,coffee,remote,,,53,0,h40,H0,Humans,A,left,2,2,X,coffee+remote,7.0,True
h161,What is this person looking at?,coffee,remote,,,53,0,h41,H0,Humans,A,left,2,2,X,coffee+remote,7.0,True
h162,What is this person looking at?,remote,coffee,,,54,0,h42,H0,Humans,A,left,2,2,X,coffee+remote,4.0,False
h163,What is this person looking at?,coffee,remote,,,54,0,h43,H0,Humans,A,left,2,2,X,coffee+remote,4.0,True
h164,What is this person looking at?,remote,coffee,,,54,0,h44,H0,Humans,A,left,2,2,X,coffee+remote,4.0,False
h165,What is this person looking at?,remote,coffee,,,55,0,h45,H0,Humans,A,left,2,2,X,coffee+remote,0.0,True
h166,What is this person looking at?,remote,coffee,,,55,0,h46,H0,Humans,A,left,2,2,X,coffee+remote,0.0,True
h167,What is this person looking at?,coffee,remote,,,55,0,h47,H0,Humans,A,left,2,2,X,coffee+remote,0.0,False
h168,What is this person looking at?,remote,coffee,,,56,0,h48,H0,Humans,A,left,2,2,X,coffee+remote,19.0,True
h169,What is this person looking at?,remote,coffee,,,56,0,h49,H0,Humans,A,left,2,2,X,coffee+remote,19.0,True
h170,What is this person looking at?,coffee,remote,,,56,0,h50,H0,Humans,A,left,2,2,X,coffee+remote,19.0,False
h171,What is this person looking at?,coffee,remote,,,57,0,h51,H0,Humans,A,right,2,2,X,coffee+remote,16.0,True
h172,What is this person looking at?,coffee,remote,,,57,0,h52,H0,Humans,A,right,2,2,X,coffee+remote,16.0,True
h173,What is this person looking at?,coffee,remote,,,57,0,h53,H0,Humans,A,right,2,2,X,coffee+remote,16.0,True
h174,What is this person looking at?,remote,coffee,,,58,0,h54,H0,Humans,A,right,2,2,X,coffee+remote,9.0,False
h175,What is this person looking at?,remote,coffee,,,58,0,h55,H0,Humans,A,right,2,2,X,coffee+remote,9.0,False
h176,What is this person looking at?,remote,coffee,,,58,0,h56,H0,Humans,A,right,2,2,X,coffee+remote,9.0,False
h177,What is this person looking at?,coffee,remote,,,59,0,h57,H0,Humans,A,right,2,2,X,coffee+remote,11.0,False
h178,What is this person looking at?,remote,coffee,,,59,0,h58,H0,Humans,A,right,2,2,X,coffee+remote,11.0,True
h179,What is this person looking at?,coffee,remote,,,59,0,h59,H0,Humans,A,right,2,2,X,coffee+remote,11.0,False
h180,What is this person looking at?,coffee,remote,,,60,0,h0,H0,Humans,A,right,2,2,X,coffee+remote,4.0,False
h181,What is this person looking at?,coffee,remote,,,60,0,h1,H0,Humans,A,right,2,2,X,coffee+remote,4.0,False
h182,What is this person looking at?,remote,coffee,,,60,0,h2,H0,Humans,A,right,2,2,X,coffee+remote,4.0,True
h183,What is this person looking at?,remote,coffee,,,61,0,h3,H0,Humans,A,front,1,2,X,coffee+remote,3.0,False
h184,What is this person looking at?,remote,coffee,,,61,0,h4,H0,Humans,A,front,1,2,X,coffee+remote,3.0,False
h185,What is this person looking at?,remote,coffee,,,61,0,h5,H0,Humans,A,front,1,2,X,coffee+remote,3.0,False
h186,What is this person looking at?,coffee,remote,,,62,0,h6,H0,Humans,A,front,1,2,X,coffee+remote,8.0,True
h187,What is this person looking at?,coffee,remote,,,62,0,h7,H0,Humans,A,front,1,2,X,coffee+remote,8.0,True
h188,What is this person looking at?,remote,coffee,,,62,0,h8,H0,Humans,A,front,1,2,X,coffee+remote,8.0,False
h189,What is this person looking at?,remote,coffee,,,63,0,h9,H0,Humans,A,front,1,2,X,coffee+remote,4.0,True
h190,What is this person looking at?,coffee,remote,,,63,0,h10,H0,Humans,A,front,1,2,X,coffee+remote,4.0,False
h191,What is this person looking at?,remote,coffee,,,63,0,h11,H0,Humans,A,front,1,2,X,coffee+remote,4.0,True
h195,What is this person looking at?,remote,coffee,,,65,0,h15,H0,Humans,A,left,1,2,X,coffee+remote,19.0,False
h196,What is this person looking at?,remote,coffee,,,65,0,h16,H0,Humans,A,left,1,2,X,coffee+remote,19.0,False
h197,What is this person looking at?,remote,coffee,,,65,0,h17,H0,Humans,A,left,1,2,X,coffee+remote,19.0,False
h198,What is this person looking at?,coffee,remote,,,66,0,h18,H0,Humans,A,left,1,2,X,coffee+remote,11.0,True
h199,What is this person looking at?,remote,coffee,,,66,0,h19,H0,Humans,A,left,1,2,X,coffee+remote,11.0,False
h200,What is this person looking at?,coffee,remote,,,66,0,h20,H0,Humans,A,left,1,2,X,coffee+remote,11.0,True
h201,What is this person looking at?,remote,coffee,,,67,0,h21,H0,Humans,A,left,1,2,X,coffee+remote,3.0,True
h202,What is this person looking at?,remote,coffee,,,67,0,h22,H0,Humans,A,left,1,2,X,coffee+remote,3.0,True
h203,What is this person looking at?,remote,coffee,,,67,0,h23,H0,Humans,A,left,1,2,X,coffee+remote,3.0,True
h207,What is this person looking at?,coffee,remote,,,69,0,h27,H0,Humans,A,right,1,2,X,coffee+remote,7.0,True
h208,What is this person looking at?,coffee,remote,,,69,0,h28,H0,Humans,A,right,1,2,X,coffee+remote,7.0,True
h209,What is this person looking at?,remote,coffee,,,69,0,h29,H0,Humans,A,right,1,2,X,coffee+remote,7.0,False
h210,What is this person looking at?,remote,coffee,,,70,0,h30,H0,Humans,A,right,1,2,X,coffee+remote,5.0,False
h211,What is this person looking at?,coffee,remote,,,70,0,h31,H0,Humans,A,right,1,2,X,coffee+remote,5.0,True
h212,What is this person looking at?,remote,coffee,,,70,0,h32,H0,Humans,A,right,1,2,X,coffee+remote,5.0,False
h213,What is this person looking at?,remote,coffee,,,71,0,h33,H0,Humans,A,right,1,2,X,coffee+remote,3.0,True
h214,What is this person looking at?,coffee,remote,,,71,0,h34,H0,Humans,A,right,1,2,X,coffee+remote,3.0,False
h215,What is this person looking at?,coffee,remote,,,71,0,h35,H0,Humans,A,right,1,2,X,coffee+remote,3.0,False
h216,What is this person looking at?,remote,coffee,,,72,0,h36,H0,Humans,A,right,1,2,X,coffee+remote,9.0,True
h217,What is this person looking at?,remote,coffee,,,72,0,h37,H0,Humans,A,right,1,2,X,coffee+remote,9.0,True
h218,What is this person looking at?,remote,coffee,,,72,0,h38,H0,Humans,A,right,1,2,X,coffee+remote,9.0,True
h219,What is this person looking at?,doll,water,,,73,0,h39,H0,Humans,A,front,3,2,X,doll+water,17.0,False
h220,What is this person looking at?,water,doll,,,73,0,h40,H0,Humans,A,front,3,2,X,doll+water,17.0,True
h221,What is this person looking at?,doll,water,,,73,0,h41,H0,Humans,A,front,3,2,X,doll+water,17.0,False
h222,What is this person looking at?,doll,water,,,74,0,h42,H0,Humans,A,front,3,2,X,doll+water,19.0,False
h223,What is this person looking at?,doll,water,,,74,0,h43,H0,Humans,A,front,3,2,X,doll+water,19.0,False
h224,What is this person looking at?,water,doll,,,74,0,h44,H0,Humans,A,front,3,2,X,doll+water,19.0,True
h225,What is this person looking at?,doll,water,,,75,0,h45,H0,Humans,A,front,3,2,X,doll+water,2.0,False
h226,What is this person looking at?,doll,water,,,75,0,h46,H0,Humans,A,front,3,2,X,doll+water,2.0,False
h227,What is this person looking at?,doll,water,,,75,0,h47,H0,Humans,A,front,3,2,X,doll+water,2.0,False
h228,What is this person looking at?,water,doll,,,76,0,h48,H0,Humans,A,front,3,2,X,doll+water,14.0,False
h229,What is this person looking at?,doll,water,,,76,0,h49,H0,Humans,A,front,3,2,X,doll+water,14.0,True
h230,What is this person looking at?,water,doll,,,76,0,h50,H0,Humans,A,front,3,2,X,doll+water,14.0,False
h231,What is this person looking at?,water,doll,,,77,0,h51,H0,Humans,A,front,3,2,X,doll+water,16.0,False
h232,What is this person looking at?,doll,water,,,77,0,h52,H0,Humans,A,front,3,2,X,doll+water,16.0,True
h233,What is this person looking at?,doll,water,,,77,0,h53,H0,Humans,A,front,3,2,X,doll+water,16.0,True
h234,What is this person looking at?,water,doll,,,78,0,h54,H0,Humans,A,left,3,2,X,doll+water,0.0,False
h235,What is this person looking at?,doll,water,,,78,0,h55,H0,Humans,A,left,3,2,X,doll+water,0.0,True
h236,What is this person looking at?,doll,water,,,78,0,h56,H0,Humans,A,left,3,2,X,doll+water,0.0,True
h237,What is this person looking at?,water,doll,,,79,0,h57,H0,Humans,A,left,3,2,X,doll+water,12.0,False
h238,What is this person looking at?,water,doll,,,79,0,h58,H0,Humans,A,left,3,2,X,doll+water,12.0,False
h239,What is this person looking at?,water,doll,,,79,0,h59,H0,Humans,A,left,3,2,X,doll+water,12.0,False
h240,What is this person looking at?,water,doll,,,80,0,h0,H0,Humans,A,left,3,2,X,doll+water,13.0,True
h241,What is this person looking at?,water,doll,,,80,0,h1,H0,Humans,A,left,3,2,X,doll+water,13.0,True
h242,What is this person looking at?,doll,water,,,80,0,h2,H0,Humans,A,left,3,2,X,doll+water,13.0,False
h243,What is this person looking at?,doll,water,,,81,0,h3,H0,Humans,A,left,3,2,X,doll+water,11.0,False
h244,What is this person looking at?,water,doll,,,81,0,h4,H0,Humans,A,left,3,2,X,doll+water,11.0,True
h245,What is this person looking at?,water,doll,,,81,0,h5,H0,Humans,A,left,3,2,X,doll+water,11.0,True
h246,What is this person looking at?,doll,water,,,82,0,h6,H0,Humans,A,right,3,2,X,doll+water,6.0,True
h247,What is this person looking at?,water,doll,,,82,0,h7,H0,Humans,A,right,3,2,X,doll+water,6.0,False
h248,What is this person looking at?,doll,water,,,82,0,h8,H0,Humans,A,right,3,2,X,doll+water,6.0,True
